id_commande,id_client,date_commande,montant_total
1,69,2023-01-24,13063.92
2,8204,2022-01-27,24348.16
3,8052,2024-02-06,8588.92
4,6813,2024-04-08,8465.77
5,6114,2024-03-19,14608.4
6,8021,2024-02-26,35228.03
7,9639,2023-09-23,17034.95
8,6698,2022-05-26,16620.23
9,2040,2022-03-21,16615.21
10,9267,2024-02-28,8008.98
11,3183,2022-11-29,10639.42
12,4183,2024-06-12,11533.08
13,8350,2023-12-15,3911.24
14,6033,2024-09-27,6246.04
15,6314,2022-04-29,11425.93
16,4044,2024-05-18,18022.76
17,7828,2023-05-12,5962.92
18,5922,2022-03-12,16205.68
19,2423,2022-02-27,15156.41
20,9920,2023-06-20,1042.44
21,2415,2024-07-21,24915.34
22,4054,2023-06-05,12641.43
23,203,2022-11-27,23393.36
24,1513,2022-08-28,13479.13
25,6516,2024-02-27,19294.56
26,8496,2022-06-14,20498.12
27,6930,2023-01-22,6945.24
28,6994,2022-12-06,16374.05
29,4952,2023-06-02,25538.92
30,8736,2024-10-22,7904.02
31,9603,2024-02-23,24634.22
32,6744,2023-09-23,5978.7
33,1791,2022-07-02,24813.06
34,2339,2023-12-07,4850.92
35,3433,2023-07-05,20012.4
36,5048,2024-03-26,11075.93
37,2760,2022-01-14,0.0
38,26,2024-10-04,29217.46
39,1145,2022-07-18,10078.54
40,8601,2024-05-05,25506.33
41,4725,2024-05-03,24431.35
42,2796,2024-06-01,21517.76
43,6139,2022-12-28,14218.51
44,2201,2023-01-17,33161.7
45,7971,2023-02-10,13576.13
46,8235,2023-01-08,21275.64
47,7384,2022-08-14,18987.92
48,3042,2023-03-12,22952.0
49,967,2023-02-16,9870.49
50,3144,2023-01-10,21866.64
51,6698,2023-06-16,4740.52
52,1790,2024-06-21,30481.88
53,1308,2022-12-07,8033.48
54,1405,2023-08-24,12368.05
55,2043,2024-02-13,2493.04
56,1053,2023-07-21,20314.37
57,487,2023-12-02,14345.88
58,7830,2023-04-26,24934.73
59,1652,2024-09-20,10931.65
60,1001,2022-01-20,2577.95
61,119,2023-06-29,35437.59
62,1587,2022-03-27,17287.39
63,8558,2023-03-09,20566.88
64,6155,2022-01-15,18831.86
65,4356,2024-12-01,39740.41
66,7754,2024-09-22,11189.29
67,9903,2023-11-22,9535.94
68,5515,2024-05-29,20443.52
69,5621,2024-01-30,7346.39
70,3926,2023-10-08,18784.27
71,6529,2024-01-10,24103.22
72,938,2024-02-15,3247.87
73,5411,2023-12-31,12858.84
74,51,2022-07-25,14162.14
75,6584,2024-07-24,34164.26
76,421,2022-10-12,3587.91
77,8694,2022-09-09,15917.04
78,4073,2023-07-27,13571.87
79,7405,2024-01-25,6300.28
80,8437,2024-08-31,9718.13
81,3080,2024-04-26,9990.27
82,5279,2022-01-07,9515.75
83,5902,2022-02-04,25437.15
84,5334,2022-04-04,20493.2
85,3827,2024-06-28,27151.46
86,6557,2024-09-19,12151.99
87,5708,2022-06-16,19505.7
88,7801,2024-05-26,15880.16
89,6306,2022-07-25,18360.06
90,9948,2023-08-25,17203.57
91,2346,2023-02-04,11836.01
92,9370,2024-12-01,15650.3
93,521,2024-10-30,7541.1
94,8159,2022-09-19,11370.85
95,4938,2022-06-28,10162.73
96,2754,2024-08-14,27269.89
97,1896,2024-07-02,13447.13
98,8859,2024-09-14,15699.79
99,3988,2023-05-09,27078.04
100,2793,2023-03-10,11291.52
101,1729,2022-07-03,16042.14
102,479,2024-06-09,27703.47
103,5350,2022-11-25,20354.61
104,4594,2024-02-25,28822.12
105,4221,2023-03-28,31819.89
106,2017,2024-09-02,17604.2
107,8758,2022-10-06,7602.48
108,1482,2024-10-04,8751.89
109,3667,2023-11-13,10465.4
110,5624,2022-05-13,15534.45
111,6253,2024-02-12,17453.45
112,3824,2024-06-13,12184.27
113,4245,2023-04-03,19743.25
114,4768,2022-08-25,16773.98
115,1825,2022-06-29,12866.03
116,5575,2022-07-02,30186.0
117,1903,2023-01-21,13713.86
118,2088,2024-01-24,29854.5
119,6230,2023-10-04,12457.38
120,5093,2022-01-04,28064.95
121,9668,2022-05-07,27086.48
122,6360,2023-01-24,12933.36
123,5238,2024-05-17,32832.91
124,2070,2024-01-18,5176.26
125,9857,2024-11-30,13479.69
126,1747,2023-03-31,19885.46
127,151,2024-03-20,9810.89
128,5177,2024-08-01,10698.36
129,4864,2022-10-24,16053.82
130,8190,2023-03-25,10312.01
131,2416,2024-07-22,7508.42
132,2390,2023-08-04,7875.43
133,9813,2022-03-12,5369.73
134,5061,2023-10-18,22317.51
135,2023,2024-10-25,2484.71
136,9404,2023-07-15,17785.51
137,3535,2024-09-06,21071.11
138,4776,2024-10-10,0.0
139,964,2024-02-11,20497.26
140,2502,2023-11-14,42748.23
141,3688,2023-03-08,17517.18
142,2934,2022-04-18,18172.1
143,6420,2024-09-25,36776.04
144,2609,2023-09-05,11510.68
145,8978,2022-02-14,17478.43
146,5529,2024-03-14,25594.42
147,7757,2024-05-15,17802.99
148,6413,2023-12-15,19503.51
149,1177,2024-03-11,21581.61
150,4638,2024-12-17,17489.27
151,3197,2023-08-02,1582.4
152,1595,2024-03-17,6509.87
153,5299,2022-09-26,20224.4
154,4982,2022-04-21,0.0
155,2682,2024-07-26,14995.19
156,7240,2022-10-09,24054.04
157,4770,2024-09-15,4887.0
158,3437,2022-10-24,22206.64
159,3206,2023-03-23,5430.91
160,5935,2022-01-19,8947.84
161,2419,2022-07-28,22576.34
162,6998,2024-02-11,7085.9
163,923,2022-12-11,28728.4
164,5826,2022-07-16,16807.21
165,2944,2024-08-28,30048.96
166,1923,2022-04-18,19083.36
167,5546,2024-11-21,9340.37
168,2435,2024-06-07,22315.45
169,4015,2024-04-07,10382.62
170,1947,2022-03-11,12605.83
171,6499,2023-05-09,3872.56
172,4960,2024-09-27,17349.07
173,6151,2022-12-20,4296.82
174,7597,2022-07-03,17365.6
175,4510,2024-02-22,13679.68
176,6019,2024-06-30,17927.62
177,1967,2022-01-24,7899.89
178,1354,2022-08-27,15531.58
179,8016,2022-09-07,9428.0
180,3686,2024-11-09,11735.79
181,9615,2022-02-17,19694.7
182,4485,2024-09-09,9183.12
183,9714,2022-07-13,22712.94
184,6291,2023-01-06,7899.22
185,7106,2024-09-18,18699.33
186,9363,2023-09-04,26214.89
187,1630,2022-09-14,5480.55
188,1041,2023-10-29,9436.85
189,6641,2023-01-14,21620.71
190,6452,2022-02-10,5385.2
191,8005,2024-12-21,6032.45
192,8502,2022-05-11,7948.13
193,3400,2022-09-12,21559.42
194,2961,2022-08-29,25046.44
195,88,2023-01-04,2426.32
196,5150,2024-07-04,16959.14
197,642,2022-09-09,17729.34
198,9423,2022-09-21,16292.96
199,2642,2023-02-27,8950.66
200,9216,2022-06-29,24205.03
201,574,2023-06-10,23406.26
202,2044,2022-06-23,13265.33
203,4892,2024-11-02,10345.0
204,8920,2024-01-15,6649.27
205,6932,2022-12-18,6323.41
206,4069,2022-01-01,19740.33
207,757,2023-09-08,25933.67
208,4808,2024-11-29,15254.66
209,7290,2024-12-29,16308.76
210,9455,2022-10-14,9684.23
211,5128,2024-10-01,11524.7
212,5770,2024-12-06,10167.15
213,3439,2024-11-11,13831.19
214,733,2022-07-22,15480.14
215,602,2023-05-01,13506.49
216,2322,2023-01-21,32441.98
217,3527,2023-09-06,2958.7
218,9866,2022-10-02,18232.56
219,9696,2023-03-19,17739.86
220,4545,2024-01-06,9345.71
221,6915,2022-09-21,24181.1
222,9009,2022-06-02,26332.73
223,4271,2023-06-07,4914.9
224,2676,2024-02-21,23067.12
225,7473,2024-03-30,16509.48
226,4165,2022-06-20,12765.3
227,2347,2024-05-21,9644.66
228,1157,2023-02-22,13289.81
229,3157,2023-07-06,17053.92
230,9235,2024-02-02,21839.08
231,9912,2024-11-13,16088.1
232,6877,2022-12-02,6543.09
233,5184,2022-11-11,18673.22
234,6209,2024-06-07,13911.86
235,9890,2022-02-23,9831.96
236,1271,2023-05-22,22676.44
237,2042,2023-07-08,26427.73
238,1803,2024-12-24,17710.86
239,1081,2024-04-13,3516.44
240,1458,2023-11-06,30473.46
241,5465,2024-01-14,7957.8
242,2398,2023-07-14,21115.87
243,4484,2023-04-08,13243.59
244,1605,2022-01-21,24057.2
245,3641,2024-02-12,5183.03
246,1721,2024-02-15,20311.16
247,2880,2022-09-10,5780.72
248,5023,2024-12-14,22144.82
249,1566,2024-09-29,15839.75
250,5717,2024-12-19,14437.62
251,9037,2023-08-01,25405.69
252,9953,2023-07-10,16068.7
253,786,2022-07-22,6900.28
254,5211,2022-12-16,34972.34
255,2961,2024-03-08,15385.14
256,8712,2023-12-08,25317.64
257,7813,2024-04-04,14136.01
258,4245,2022-09-19,28541.52
259,8415,2022-01-20,12885.77
260,2071,2022-11-15,34121.42
261,6207,2022-10-20,21870.87
262,867,2023-07-02,11441.7
263,4082,2024-01-29,5191.78
264,7501,2024-05-06,16401.13
265,7192,2023-01-10,7692.14
266,7679,2023-12-26,7682.15
267,4700,2024-10-25,18540.2
268,7009,2023-07-19,9180.42
269,3749,2024-12-02,10300.41
270,1425,2023-09-18,14486.8
271,6661,2023-09-18,15066.96
272,1477,2023-10-03,15060.27
273,1257,2022-06-12,16643.04
274,1535,2023-05-07,10777.71
275,9426,2022-12-05,16137.14
276,1386,2022-04-28,13098.63
277,9080,2023-08-09,6970.35
278,176,2024-10-06,3097.72
279,8335,2024-05-18,17150.26
280,7859,2022-10-07,9975.58
281,8438,2024-10-16,11175.72
282,2043,2024-12-26,0.0
283,228,2024-04-10,9753.16
284,120,2023-01-25,4108.88
285,8755,2024-05-20,4898.92
286,4002,2023-12-08,8030.99
287,9982,2024-12-17,17991.03
288,9952,2022-03-28,1696.72
289,2762,2024-07-07,20664.94
290,3688,2024-12-08,26845.66
291,1231,2022-12-25,16187.78
292,2185,2024-01-22,12172.78
293,5789,2024-11-18,25819.47
294,6926,2022-04-15,11823.82
295,6212,2024-10-11,34834.82
296,6116,2022-12-16,11435.79
297,5538,2022-08-20,36170.05
298,8833,2023-05-27,3899.91
299,4753,2022-08-30,8798.73
300,7916,2023-09-05,24159.71
301,4338,2023-08-25,8119.28
302,37,2023-03-13,10500.07
303,3563,2024-03-17,11615.1
304,8447,2023-09-17,24655.45
305,7587,2022-03-14,29762.06
306,943,2024-09-26,289.74
307,97,2023-12-30,15989.13
308,5383,2024-07-31,13388.5
309,5799,2023-09-04,28949.96
310,85,2022-08-08,5157.71
311,3051,2023-12-18,21724.28
312,5809,2024-04-03,15724.01
313,1661,2022-01-19,21091.96
314,8062,2024-06-01,5952.4
315,1389,2023-02-09,7829.84
316,8427,2024-12-19,23324.5
317,6730,2022-11-11,29423.9
318,7986,2022-09-11,14108.07
319,2550,2022-01-15,26107.18
320,3705,2023-05-28,19379.82
321,6478,2024-08-21,25058.23
322,4904,2024-02-06,10760.28
323,7018,2024-01-17,10496.68
324,8789,2023-01-09,12997.82
325,1781,2023-07-06,9387.12
326,7199,2024-06-17,6100.62
327,2292,2022-11-28,6738.33
328,7111,2023-12-26,339.78
329,5886,2022-01-12,21598.24
330,1814,2023-02-11,22941.91
331,4668,2023-01-24,6207.18
332,2191,2022-03-24,8464.2
333,6899,2024-03-19,21990.92
334,518,2023-11-10,5026.01
335,3261,2022-11-25,12793.18
336,4355,2024-09-08,14477.04
337,6900,2022-09-01,9068.03
338,9014,2024-09-28,13021.32
339,2088,2024-10-11,21468.1
340,6552,2023-10-28,31982.09
341,6371,2024-10-24,13222.71
