id_ligne,id_commande,id_produit,quantite,prix_unitaire
1,4378,418,2,286.4
2,7088,81,5,1609.52
3,13473,348,1,625.34
4,8834,2,2,778.44
5,9423,477,3,1235.72
6,9764,70,2,87.09
7,8561,378,5,1537.54
8,5119,88,3,746.24
9,7860,12,2,230.47
10,7584,354,2,911.29
11,1827,8,1,1897.47
12,3163,98,2,1574.22
13,14667,270,5,1604.58
14,5614,279,2,637.87
15,8676,340,2,1404.29
16,10909,32,5,626.19
17,16001,291,1,549.76
18,7646,172,2,1805.56
19,5302,310,3,465.62
20,12473,60,4,1929.54
21,13463,95,5,1797.82
22,9198,458,5,541.28
23,9005,209,4,574.86
24,12316,147,1,241.08
25,17609,386,5,261.84
26,14887,235,5,1099.36
27,11892,111,4,1518.75
28,2265,464,3,1195.56
29,114,283,2,1735.94
30,9,329,4,670.01
31,1303,306,1,634.28
32,12849,126,2,920.07
33,12345,29,2,1819.06
34,15898,486,2,394.05
35,3998,370,3,1527.36
36,13864,241,2,1528.92
37,13809,36,4,743.14
38,6482,220,2,1215.84
39,19258,75,3,611.62
40,10527,416,5,1349.98
41,17866,293,4,524.15
42,14762,443,4,707.38
43,6406,279,2,637.87
44,9855,100,5,255.55
45,5119,33,3,199.24
46,14162,86,5,507.7
47,5243,85,2,1888.96
48,5264,485,5,1457.26
49,7311,101,5,1826.42
50,2711,101,5,1826.42
51,10664,91,2,272.24
52,7127,173,5,1677.2
53,916,198,2,164.88
54,15904,349,1,498.85
55,19036,442,3,81.27
56,1389,450,1,466.87
57,9107,154,1,1393.58
58,5629,160,3,770.2
59,5257,95,5,1797.82
60,5074,129,3,1767.9
61,12710,227,1,1240.37
62,17119,341,5,573.25
63,7226,295,2,1050.6
64,11419,18,3,1812.28
65,13599,466,2,510.97
66,6199,101,4,1826.42
67,9121,58,3,974.28
68,6448,440,3,1545.87
69,18115,420,2,849.69
70,6791,367,5,1737.66
71,14641,261,5,1773.41
72,11968,404,5,174.74
73,2612,375,5,645.87
74,709,175,2,1535.27
75,1058,297,3,337.45
76,11151,288,4,260.61
77,11843,293,3,524.15
78,1940,261,2,1773.41
79,11317,415,4,1770.98
80,4231,116,2,1551.8
81,6262,8,1,1897.47
82,15796,3,5,349.86
83,13808,448,1,453.88
84,18270,224,5,186.37
85,9946,258,3,1696.47
86,12905,349,4,498.85
87,9344,239,3,293.29
88,5512,381,5,1955.62
89,3211,138,5,741.22
90,8180,379,3,685.86
91,12479,446,3,1049.38
92,1355,285,4,1765.88
93,18723,70,2,87.09
94,15011,433,1,201.29
95,5660,171,2,1167.47
96,12091,412,3,942.76
97,3386,408,1,611.43
98,2035,457,3,1592.96
99,11636,379,4,685.86
100,5831,335,3,458.01
101,2350,74,4,1410.15
102,13375,229,4,529.56
103,16627,14,5,90.0
104,8694,487,1,606.44
105,10259,292,4,1463.01
106,9904,248,1,1013.32
107,8139,103,4,1478.48
108,8738,88,3,746.24
109,10647,389,2,112.52
110,5108,13,4,518.16
